"age","government_work","education","marital_status","occupation","relationship","ethnicity","gender","capital_gain","capital_loss","hours_per_week","income","country"
38,"Federal gov","Some to college","Divorced","Adm clerical","Unmarried","White","Female",0,0,40,"<=50K","United States"
26,"Private","HS to grad","Divorced","Adm clerical","Not in family","White","Female",0,0,50,"<=50K","United States"
46,"Self emp not inc","HS to grad","Married civ spouse","Farming fishing","Husband","White","Male",0,1672,50,"<=50K","United States"
39,"Private","Some to college","Never married","Adm clerical","Own child","White","Female",0,0,20,"<=50K","United States"
29,NA,"Bachelors","Married spouse absent",NA,"Not in family","White","Male",0,0,50,"<=50K","United States"
42,"Private","Doctorate","Never married","Prof specialty","Not in family","White","Male",0,0,36,">50K","United States"
36,"Private","Bachelors","Married civ spouse","Prof specialty","Husband","White","Male",0,0,45,">50K","United States"
26,"Private","Some to college","Divorced","Handlers cleaners","Not in family","White","Male",0,0,45,"<=50K","United States"
57,"Private","Bachelors","Married civ spouse","Sales","Husband","White","Male",0,1902,40,">50K","United States"
55,"Private","HS to grad","Never married","Handlers cleaners","Not in family","Black","Male",0,0,40,"<=50K","United States"
35,"Private","Some to college","Married civ spouse","Sales","Husband","White","Male",0,0,55,">50K","United States"
24,"Private","Some to college","Never married","Other service","Not in family","White","Female",0,0,30,"<=50K","United States"
47,"Private","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,"<=50K","United States"
34,"Self emp inc","Some to college","Married civ spouse","Sales","Husband","White","Male",0,0,60,">50K","United States"
44,"Private","Bachelors","Married civ spouse","Exec managerial","Husband","Black","Male",0,0,35,">50K","United States"
18,NA,"HS to grad","Never married",NA,"Unmarried","White","Female",0,0,20,"<=50K","United States"
27,"Private","Bachelors","Never married","Adm clerical","Not in family","White","Male",0,0,35,"<=50K","United States"
36,"Private","Bachelors","Never married","Adm clerical","Not in family","White","Female",0,0,50,"<=50K","United States"
21,"Private","Bachelors","Never married","Sales","Own child","White","Male",0,0,30,"<=50K","United States"
29,"Private","HS to grad","Married civ spouse","Transport moving","Husband","Other","Male",0,0,55,"<=50K","United States"
25,"Private","HS to grad","Married civ spouse","Handlers cleaners","Husband","White","Male",0,0,40,"<=50K","United States"
73,"Private","HS to grad","Married civ spouse","Farming fishing","Husband","White","Male",0,0,50,"<=50K","United States"
45,"Private","Assoc to voc","Married civ spouse","Machine op inspct","Husband","White","Male",0,0,40,">50K","United States"
28,"Private","Bachelors","Married civ spouse","Exec managerial","Wife","White","Female",0,0,50,">50K","United States"
43,"Private","Bachelors","Married civ spouse","Exec managerial","Husband","White","Male",0,0,50,"<=50K","United States"
47,"Private","HS to grad","Divorced","Craft repair","Not in family","White","Male",0,0,42,"<=50K","United States"
20,"Private","Some to college","Never married","Adm clerical","Own child","White","Female",0,0,15,"<=50K","United States"
22,"Private","Some to college","Never married","Transport moving","Own child","White","Male",0,0,20,"<=50K","United States"
76,"Self emp not inc","7th to 8th","Married civ spouse","Craft repair","Husband","White","Male",0,0,10,"<=50K","United States"
24,"Private","Some to college","Never married","Transport moving","Not in family","Black","Male",0,0,40,"<=50K","United States"
54,"Self emp not inc","Some to college","Married civ spouse","Sales","Husband","White","Male",0,0,50,"<=50K","United States"
30,"Private","Some to college","Married civ spouse","Machine op inspct","Husband","White","Male",0,0,40,">50K","United States"
33,"Private","Some to college","Married civ spouse","Craft repair","Husband","White","Male",0,0,58,"<=50K","United States"
30,"Private","Some to college","Divorced","Machine op inspct","Not in family","White","Male",0,0,50,"<=50K","United States"
40,"Private","Assoc to acdm","Married civ spouse","Exec managerial","Husband","White","Male",0,0,50,">50K","United States"
27,NA,"Some to college","Divorced",NA,"Not in family","White","Male",0,0,30,"<=50K","United States"
49,"Private","Assoc to voc","Divorced","Sales","Unmarried","White","Female",0,0,40,"<=50K","United States"
30,"Private","HS to grad","Never married","Craft repair","Not in family","White","Male",0,0,40,"<=50K","United States"
22,"Private","HS to grad","Never married","Adm clerical","Not in family","Other","Female",0,0,40,"<=50K","United States"
19,"Private","HS to grad","Married civ spouse","Handlers cleaners","Husband","White","Male",0,0,58,"<=50K","United States"
46,"Private","HS to grad","Married civ spouse","Protective serv","Husband","White","Male",0,0,40,"<=50K","United States"
51,"Private","HS to grad","Married civ spouse","Adm clerical","Husband","White","Male",0,0,50,"<=50K","United States"
53,"Private","Some to college","Widowed","Sales","Not in family","White","Female",0,0,40,"<=50K","United States"
60,NA,"Assoc to voc","Widowed",NA,"Not in family","White","Female",0,0,40,"<=50K","United States"
27,"Private","Bachelors","Never married","Prof specialty","Not in family","White","Female",0,0,40,"<=50K","United States"
46,"Private","Some to college","Never married","Exec managerial","Unmarried","White","Female",0,0,45,"<=50K","United States"
37,"Private","HS to grad","Married civ spouse","Transport moving","Husband","White","Male",0,0,40,">50K","United States"
65,NA,"Assoc to voc","Married civ spouse",NA,"Husband","White","Male",0,0,50,">50K","United States"
30,"Self emp not inc","Some to college","Married civ spouse","Adm clerical","Wife","White","Female",0,0,55,">50K","United States"
57,"Self emp not inc","HS to grad","Married civ spouse","Farming fishing","Husband","White","Male",0,0,72,"<=50K","United States"
44,"Self emp inc","Some to college","Married civ spouse","Exec managerial","Husband","White","Male",0,0,50,"<=50K","United States"
32,"Self emp not inc","HS to grad","Married civ spouse","Farming fishing","Husband","White","Male",4064,0,40,"<=50K","United States"
27,"Self emp not inc","HS to grad","Married civ spouse","Transport moving","Husband","White","Male",0,0,40,"<=50K","United States"
59,"Self emp not inc","Bachelors","Married civ spouse","Farming fishing","Husband","White","Male",0,0,30,"<=50K","United States"
32,"Private","Prof to school","Married civ spouse","Prof specialty","Wife","Asian Pac Islander","Female",15024,0,50,">50K","United States"
90,NA,"HS to grad","Widowed",NA,"Not in family","White","Female",0,4356,40,"<=50K","United States"
22,"Private","Bachelors","Never married","Exec managerial","Not in family","White","Female",0,0,30,"<=50K","United States"
39,"Private","HS to grad","Never married","Adm clerical","Not in family","White","Female",0,0,40,"<=50K","United States"
43,"Private","Assoc to voc","Married civ spouse","Exec managerial","Husband","White","Male",3103,0,48,">50K","United States"
38,"Local gov","Bachelors","Married civ spouse","Exec managerial","Husband","Black","Male",0,0,50,">50K","United States"
61,"Private","9th","Divorced","Sales","Not in family","White","Male",0,0,25,"<=50K","United States"
24,"Private","Some to college","Never married","Sales","Own child","White","Male",0,0,43,"<=50K","United States"
25,"Private","Some to college","Never married","Sales","Not in family","White","Male",0,0,45,"<=50K","United States"
44,"Private","Assoc to voc","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,"<=50K","United States"
55,"Local gov","HS to grad","Divorced","Adm clerical","Not in family","White","Female",0,0,40,">50K","United States"
90,"Private","Bachelors","Married civ spouse","Sales","Husband","White","Male",9386,0,15,">50K","United States"
30,"Private","HS to grad","Divorced","Adm clerical","Unmarried","White","Female",0,0,35,"<=50K","United States"
44,"Private","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,">50K","United States"
36,"Private","10th","Divorced","Craft repair","Other relative","Black","Male",0,0,40,"<=50K","United States"
63,"Self emp inc","Some to college","Married civ spouse","Exec managerial","Husband","White","Male",0,0,45,">50K","United States"
60,"Private","5th to 6th","Married civ spouse","Transport moving","Husband","White","Male",0,0,40,"<=50K","United States"
34,"Self emp not inc","Prof to school","Never married","Prof specialty","Not in family","White","Female",0,0,60,">50K","United States"
49,"Self emp not inc","11th","Married civ spouse","Exec managerial","Husband","White","Male",0,0,65,"<=50K","United States"
47,"Private","Masters","Married civ spouse","Exec managerial","Husband","White","Male",0,0,65,">50K","United States"
42,"Self emp inc","HS to grad","Married civ spouse","Sales","Husband","White","Male",0,0,43,">50K","United States"
23,"Private","Some to college","Never married","Tech support","Not in family","White","Female",4101,0,40,"<=50K","United States"
20,"Private","Some to college","Married civ spouse","Sales","Husband","Black","Male",0,0,35,"<=50K","United States"
43,"Private","HS to grad","Married civ spouse","Handlers cleaners","Husband","White","Male",3908,0,40,"<=50K","United States"
32,"Private","Prof to school","Married civ spouse","Prof specialty","Husband","White","Male",0,1977,60,">50K","United States"
43,"Private","Bachelors","Divorced","Sales","Unmarried","White","Male",0,0,44,">50K","United States"
31,"Private","HS to grad","Married civ spouse","Transport moving","Husband","White","Male",0,0,60,"<=50K","United States"
29,NA,"HS to grad","Married civ spouse",NA,"Wife","White","Female",0,0,40,"<=50K","United States"
24,"Private","Some to college","Never married","Adm clerical","Own child","Asian Pac Islander","Male",0,0,20,"<=50K","United States"
39,"Private","Assoc to voc","Separated","Adm clerical","Not in family","Asian Pac Islander","Male",0,0,40,"<=50K","United States"
23,NA,"Some to college","Never married",NA,"Not in family","White","Male",0,0,40,"<=50K","United States"
42,"Private","11th","Separated","Other service","Unmarried","White","Female",0,0,38,"<=50K","United States"
53,"Private","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,"<=50K","United States"
20,"Private","HS to grad","Married civ spouse","Handlers cleaners","Husband","White","Male",0,0,48,"<=50K","United States"
58,"Self emp not inc","1st to 4th","Married civ spouse","Transport moving","Husband","White","Male",0,2179,18,"<=50K","United States"
51,"Self emp not inc","HS to grad","Divorced","Sales","Not in family","White","Male",0,0,40,"<=50K","United States"
25,"Private","HS to grad","Never married","Handlers cleaners","Not in family","White","Male",0,0,48,"<=50K","United States"
38,"Private","Assoc to acdm","Never married","Prof specialty","Unmarried","White","Female",0,0,36,"<=50K","United States"
41,"Private","Some to college","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,">50K","United States"
58,"Private","Bachelors","Married civ spouse","Machine op inspct","Husband","White","Male",0,0,40,">50K","United States"
50,"Private","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,"<=50K","United States"
32,"Private","Bachelors","Married civ spouse","Exec managerial","Husband","White","Male",0,0,45,">50K","United States"
31,"Self emp inc","Doctorate","Never married","Prof specialty","Own child","White","Male",0,0,40,"<=50K","United States"
22,"Private","Some to college","Never married","Other service","Own child","White","Female",0,0,20,"<=50K","United States"
32,"Private","Some to college","Never married","Sales","Other relative","White","Female",0,0,40,"<=50K","United States"
46,"State gov","Prof to school","Never married","Prof specialty","Not in family","White","Female",0,1564,55,">50K","United States"
62,"Private","HS to grad","Married civ spouse","Transport moving","Husband","White","Male",0,0,40,">50K","United States"
56,"Private","Bachelors","Married civ spouse","Sales","Husband","Black","Male",7688,0,45,">50K","United States"
56,"Private","7th to 8th","Married civ spouse","Machine op inspct","Husband","White","Male",0,0,48,"<=50K","United States"
20,"Private","Some to college","Never married","Handlers cleaners","Not in family","White","Male",0,0,30,"<=50K","United States"
34,"Self emp not inc","Bachelors","Married civ spouse","Sales","Husband","White","Male",0,0,60,">50K","United States"
45,"Private","HS to grad","Married civ spouse","Sales","Husband","White","Male",0,0,50,">50K","United States"
30,"Private","Some to college","Married civ spouse","Machine op inspct","Husband","White","Male",0,0,40,">50K","United States"
51,"Self emp not inc","HS to grad","Married civ spouse","Exec managerial","Husband","White","Male",0,0,45,">50K","United States"
27,"Private","11th","Married civ spouse","Machine op inspct","Husband","White","Male",0,0,42,"<=50K","United States"
38,"Private","Assoc to voc","Married civ spouse","Sales","Husband","White","Male",0,0,40,">50K","United States"
39,"Private","Some to college","Married civ spouse","Handlers cleaners","Husband","White","Male",0,0,50,"<=50K","United States"
57,NA,"Bachelors","Married civ spouse",NA,"Husband","White","Male",0,0,8,"<=50K","United States"
47,"Private","Some to college","Married civ spouse","Exec managerial","Husband","White","Male",0,0,50,">50K","United States"
77,NA,"HS to grad","Married civ spouse",NA,"Husband","White","Male",0,0,15,"<=50K","United States"
43,"Private","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,">50K","United States"
46,"Local gov","HS to grad","Married civ spouse","Exec managerial","Husband","White","Male",0,0,65,"<=50K","United States"
41,"Private","Some to college","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,">50K","United States"
20,"Private","HS to grad","Never married","Adm clerical","Not in family","White","Female",0,0,30,"<=50K","United States"
30,"State gov","10th","Married civ spouse","Adm clerical","Husband","White","Male",0,0,40,"<=50K","United States"
30,"Private","HS to grad","Married civ spouse","Other service","Husband","Black","Male",0,0,25,"<=50K","United States"
22,"Private","Some to college","Never married","Handlers cleaners","Own child","White","Male",0,0,35,"<=50K","United States"
25,"Private","HS to grad","Married civ spouse","Transport moving","Husband","White","Male",0,0,44,">50K","United States"
18,"Private","HS to grad","Never married","Sales","Own child","White","Female",0,0,22,"<=50K","United States"
50,"Private","Bachelors","Married civ spouse","Tech support","Husband","White","Male",15024,0,40,">50K","United States"
28,"Private","HS to grad","Never married","Other service","Not in family","Black","Female",0,0,48,"<=50K","United States"
21,"Private","Some to college","Never married","Priv house serv","Own child","White","Female",0,0,40,"<=50K","United States"
37,"Private","Assoc to voc","Divorced","Tech support","Own child","White","Male",0,0,40,"<=50K","United States"
28,"Federal gov","Bachelors","Never married","Prof specialty","Own child","Black","Female",0,0,40,"<=50K","United States"
27,"Private","12th","Never married","Machine op inspct","Own child","White","Male",0,0,50,"<=50K","United States"
55,"Private","HS to grad","Divorced","Prof specialty","Unmarried","Black","Female",0,0,40,"<=50K","United States"
44,"Private","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,">50K","United States"
25,"Private","Bachelors","Never married","Prof specialty","Own child","White","Male",0,0,40,"<=50K","United States"
29,"Private","HS to grad","Divorced","Sales","Unmarried","White","Female",0,0,32,"<=50K","United States"
50,"Private","HS to grad","Married spouse absent","Exec managerial","Not in family","White","Female",0,0,55,"<=50K","United States"
18,"Private","HS to grad","Never married","Handlers cleaners","Own child","White","Male",0,0,40,"<=50K","United States"
74,"Private","Bachelors","Widowed","Other service","Not in family","White","Female",0,0,8,"<=50K","United States"
22,"Private","9th","Never married","Sales","Not in family","White","Male",0,0,40,"<=50K","United States"
27,"Private","Bachelors","Married civ spouse","Prof specialty","Husband","White","Male",0,0,40,"<=50K","United States"
27,"State gov","Some to college","Never married","Tech support","Own child","White","Female",0,0,80,"<=50K","United States"
41,"Private","Prof to school","Married civ spouse","Prof specialty","Husband","White","Male",15024,0,50,">50K","United States"
24,"Private","Some to college","Married civ spouse","Adm clerical","Husband","White","Male",7298,0,40,">50K","United States"
23,"Private","HS to grad","Never married","Adm clerical","Own child","White","Female",0,0,40,"<=50K","United States"
34,"Self emp not inc","Prof to school","Married civ spouse","Prof specialty","Husband","White","Male",7688,0,60,">50K","United States"
46,"State gov","Bachelors","Married civ spouse","Exec managerial","Husband","White","Male",0,0,40,">50K","United States"
32,"Private","Prof to school","Never married","Prof specialty","Not in family","White","Male",0,0,60,"<=50K","United States"
41,"Private","HS to grad","Married civ spouse","Craft repair","Husband","Other","Male",0,0,40,"<=50K","United States"
29,"Private","Assoc to voc","Married civ spouse","Farming fishing","Husband","White","Male",0,0,40,">50K","United States"
34,"State gov","12th","Never married","Adm clerical","Not in family","Black","Female",0,0,40,"<=50K","United States"
58,"Private","Bachelors","Married civ spouse","Exec managerial","Husband","White","Male",0,0,45,">50K","United States"
52,"Private","HS to grad","Married civ spouse","Handlers cleaners","Husband","White","Male",0,0,40,"<=50K","United States"
53,"Private","Some to college","Separated","Adm clerical","Not in family","White","Female",0,0,40,"<=50K","United States"
54,"Private","Assoc to voc","Married civ spouse","Transport moving","Husband","White","Male",0,0,20,"<=50K","United States"
36,"Private","HS to grad","Married civ spouse","Sales","Husband","White","Male",0,0,60,"<=50K","United States"
25,"Private","Assoc to voc","Never married","Adm clerical","Own child","White","Female",0,0,60,"<=50K","United States"
20,"Private","Some to college","Never married","Prof specialty","Own child","White","Female",0,0,48,"<=50K","United States"
23,"Private","Assoc to acdm","Never married","Adm clerical","Not in family","White","Male",0,0,40,"<=50K","United States"
39,"Self emp inc","Bachelors","Married civ spouse","Exec managerial","Husband","White","Male",0,0,60,">50K","United States"
20,"Self emp not inc","10th","Never married","Machine op inspct","Own child","White","Male",0,0,40,"<=50K","United States"
28,"Private","Assoc to voc","Never married","Other service","Other relative","Black","Male",0,0,40,"<=50K","United States"
73,"State gov","HS to grad","Widowed","Adm clerical","Not in family","White","Female",0,0,40,"<=50K","United States"
67,"Private","HS to grad","Married civ spouse","Protective serv","Husband","White","Male",0,0,24,"<=50K","United States"
56,"Private","Bachelors","Divorced","Exec managerial","Not in family","White","Male",0,0,45,">50K","United States"
32,"Private","Assoc to voc","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,"<=50K","United States"
42,"Private","Some to college","Divorced","Machine op inspct","Not in family","White","Male",0,1590,40,"<=50K","United States"
33,"Private","HS to grad","Married civ spouse","Other service","Husband","Black","Male",0,0,40,"<=50K","United States"
37,"Private","HS to grad","Never married","Other service","Not in family","White","Male",0,0,40,"<=50K","United States"
33,"Private","Some to college","Married civ spouse","Exec managerial","Husband","White","Male",0,0,45,"<=50K","United States"
31,"Private","10th","Never married","Adm clerical","Unmarried","White","Female",0,0,40,"<=50K","United States"
59,"Private","Masters","Married civ spouse","Exec managerial","Husband","White","Male",0,0,40,">50K","United States"
21,"Private","HS to grad","Never married","Adm clerical","Unmarried","White","Male",0,0,40,"<=50K","United States"
58,"Self emp inc","Some to college","Married civ spouse","Exec managerial","Husband","White","Male",0,0,50,">50K","United States"
24,"Local gov","10th","Never married","Other service","Not in family","White","Male",0,0,40,"<=50K","United States"
26,"State gov","Some to college","Married civ spouse","Protective serv","Husband","White","Male",0,0,40,"<=50K","United States"
26,"Private","11th","Married civ spouse","Transport moving","Husband","White","Male",0,0,40,"<=50K","United States"
25,"Private","Bachelors","Never married","Sales","Not in family","White","Male",0,0,40,"<=50K","United States"
21,"Private","10th","Married civ spouse","Machine op inspct","Husband","White","Male",0,0,50,"<=50K","United States"
24,"Private","HS to grad","Never married","Machine op inspct","Not in family","White","Male",0,0,40,"<=50K","United States"
39,"Self emp not inc","Assoc to acdm","Married civ spouse","Adm clerical","Wife","White","Female",0,0,40,">50K","United States"
68,"Private","Some to college","Divorced","Adm clerical","Unmarried","White","Female",0,0,40,"<=50K","United States"
66,"Self emp not inc","Some to college","Never married","Sales","Not in family","White","Female",0,0,20,"<=50K","United States"
38,"Private","Bachelors","Never married","Farming fishing","Not in family","White","Male",0,0,40,"<=50K","United States"
41,"Private","Masters","Married civ spouse","Exec managerial","Husband","White","Male",0,0,50,">50K","United States"
37,"Private","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,"<=50K","United States"
54,"Self emp not inc","Masters","Married civ spouse","Sales","Husband","White","Male",4386,0,45,">50K","United States"
27,"State gov","Bachelors","Never married","Prof specialty","Not in family","White","Male",0,0,40,"<=50K","United States"
49,"Private","Bachelors","Never married","Prof specialty","Not in family","White","Female",0,0,40,"<=50K","United States"
19,"State gov","Some to college","Never married","Prof specialty","Own child","White","Male",0,0,10,"<=50K","United States"
25,"Private","Some to college","Never married","Transport moving","Not in family","White","Male",0,0,50,"<=50K","United States"
47,"Federal gov","Some to college","Married civ spouse","Adm clerical","Husband","Black","Male",0,0,40,">50K","United States"
40,"Private","Some to college","Married civ spouse","Sales","Other relative","White","Male",0,0,40,"<=50K","United States"
38,"Private","Bachelors","Divorced","Exec managerial","Not in family","White","Male",3325,0,40,"<=50K","United States"
25,"Private","HS to grad","Never married","Other service","Not in family","White","Male",0,0,40,"<=50K","United States"
25,"Private","Some to college","Never married","Craft repair","Own child","White","Female",0,0,50,"<=50K","United States"
23,"Private","10th","Never married","Handlers cleaners","Other relative","Other","Male",0,0,40,"<=50K","United States"
28,"Private","Masters","Divorced","Sales","Own child","White","Female",0,0,40,"<=50K","United States"
29,"Private","HS to grad","Married spouse absent","Craft repair","Not in family","White","Male",0,0,40,"<=50K","United States"
32,"Private","11th","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,"<=50K","United States"
34,"Private","HS to grad","Never married","Other service","Unmarried","Black","Female",0,0,40,"<=50K","United States"
52,"Private","Bachelors","Married civ spouse","Prof specialty","Husband","Black","Male",0,0,40,">50K","United States"
33,"Self emp not inc","HS to grad","Married civ spouse","Farming fishing","Husband","White","Male",0,0,94,"<=50K","United States"
19,"Private","Some to college","Never married","Sales","Own child","White","Male",0,0,35,"<=50K","United States"
68,"Private","Doctorate","Married civ spouse","Prof specialty","Husband","White","Male",20051,0,55,">50K","United States"
41,"Private","10th","Never married","Handlers cleaners","Unmarried","White","Male",0,0,50,"<=50K","United States"
29,"Private","Some to college","Married civ spouse","Craft repair","Husband","White","Male",0,1485,40,">50K","United States"
40,"Private","Masters","Married civ spouse","Exec managerial","Husband","White","Male",0,0,50,">50K","United States"
51,"Self emp not inc","Masters","Divorced","Prof specialty","Unmarried","White","Male",0,0,60,">50K","United States"
49,"Private","Some to college","Divorced","Adm clerical","Not in family","White","Male",0,0,40,"<=50K","United States"
20,"State gov","Some to college","Never married","Other service","Own child","White","Female",0,0,20,"<=50K","United States"
38,"Local gov","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,50,">50K","United States"
35,"Private","Some to college","Married civ spouse","Sales","Husband","White","Male",4064,0,40,"<=50K","United States"
66,"Private","11th","Married civ spouse","Sales","Husband","White","Male",0,0,26,"<=50K","United States"
27,NA,"Bachelors","Married civ spouse",NA,"Husband","White","Male",0,0,15,"<=50K","United States"
25,"Private","Assoc to voc","Never married","Adm clerical","Not in family","White","Female",0,0,40,"<=50K","United States"
77,NA,"Masters","Married civ spouse",NA,"Husband","White","Male",9386,0,6,">50K","United States"
19,NA,"10th","Never married",NA,"Unmarried","White","Female",0,0,35,"<=50K","United States"
70,"Private","HS to grad","Married civ spouse","Handlers cleaners","Husband","White","Male",0,2174,40,">50K","United States"
59,"Self emp not inc","7th to 8th","Married civ spouse","Farming fishing","Husband","White","Male",0,0,48,"<=50K","United States"
25,"Private","Bachelors","Married civ spouse","Prof specialty","Husband","White","Male",0,0,40,"<=50K","United States"
44,"Local gov","Prof to school","Never married","Prof specialty","Not in family","White","Male",10520,0,40,">50K","United States"
21,NA,"HS to grad","Never married",NA,"Not in family","White","Female",0,0,40,"<=50K","United States"
21,"Private","HS to grad","Never married","Sales","Own child","White","Female",4101,0,40,"<=50K","United States"
47,"Federal gov","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,">50K","United States"
20,"Private","HS to grad","Never married","Adm clerical","Not in family","Black","Female",0,1721,30,"<=50K","United States"
32,"State gov","HS to grad","Married civ spouse","Protective serv","Husband","White","Male",0,0,40,"<=50K","United States"
28,"Private","HS to grad","Never married","Adm clerical","Unmarried","White","Female",0,0,20,"<=50K","United States"
53,"Private","HS to grad","Divorced","Transport moving","Not in family","White","Male",0,0,40,"<=50K","United States"
19,NA,"HS to grad","Never married",NA,"Not in family","Other","Male",0,0,30,"<=50K","United States"
58,"Private","Some to college","Married civ spouse","Sales","Wife","White","Female",0,0,36,"<=50K","United States"
22,"Private","HS to grad","Never married","Sales","Not in family","White","Female",0,0,30,"<=50K","United States"
23,"Private","11th","Married civ spouse","Exec managerial","Husband","White","Male",0,0,55,"<=50K","United States"
21,"Private","HS to grad","Never married","Handlers cleaners","Not in family","White","Male",3325,0,60,"<=50K","United States"
36,"Private","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,70,"<=50K","United States"
39,"Private","Some to college","Married civ spouse","Other service","Wife","White","Female",0,0,15,"<=50K","United States"
34,"Local gov","Bachelors","Never married","Prof specialty","Not in family","White","Female",0,0,40,"<=50K","United States"
41,"Local gov","Masters","Never married","Prof specialty","Not in family","White","Female",0,0,40,"<=50K","United States"
72,"Private","Bachelors","Married civ spouse","Sales","Husband","White","Male",1455,0,6,"<=50K","United States"
34,"Private","HS to grad","Married civ spouse","Other service","Wife","White","Female",0,0,40,">50K","United States"
51,"Local gov","Bachelors","Married civ spouse","Prof specialty","Husband","White","Male",0,1902,40,">50K","United States"
32,"Self emp not inc","Assoc to voc","Never married","Craft repair","Not in family","White","Male",0,0,40,"<=50K","United States"
38,"Private","Some to college","Widowed","Exec managerial","Not in family","White","Female",0,0,40,">50K","United States"
37,"Private","Some to college","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,"<=50K","United States"
21,NA,"Some to college","Never married",NA,"Own child","Black","Male",0,0,20,"<=50K","United States"
21,"Private","Some to college","Never married","Prof specialty","Own child","White","Female",0,0,10,"<=50K","United States"
26,"Private","Some to college","Never married","Adm clerical","Not in family","White","Male",0,0,40,"<=50K","United States"
34,"Private","Some to college","Married civ spouse","Handlers cleaners","Husband","White","Male",0,1887,40,">50K","United States"
18,"Private","Some to college","Never married","Sales","Own child","White","Female",0,0,15,"<=50K","United States"
27,"Private","11th","Never married","Exec managerial","Unmarried","White","Female",0,0,45,"<=50K","United States"
36,"Private","Assoc to voc","Married civ spouse","Adm clerical","Husband","White","Male",0,0,40,">50K","United States"
31,NA,"Bachelors","Never married",NA,"Not in family","White","Male",0,0,40,"<=50K","United States"
32,"Private","Bachelors","Married civ spouse","Exec managerial","Husband","White","Male",0,0,60,">50K","United States"
54,"Private","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,44,">50K","United States"
34,"Local gov","Masters","Widowed","Prof specialty","Not in family","White","Female",0,0,40,"<=50K","United States"
46,"Private","Some to college","Married civ spouse","Sales","Husband","White","Male",0,0,48,">50K","United States"
33,"Private","11th","Separated","Machine op inspct","Other relative","White","Male",0,0,30,"<=50K","United States"
32,"Private","Bachelors","Married civ spouse","Prof specialty","Husband","White","Male",99999,0,50,">50K","United States"
42,"Private","Assoc to voc","Never married","Tech support","Not in family","White","Male",0,0,40,"<=50K","United States"
30,"Private","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,50,"<=50K","United States"
37,"Private","Some to college","Married civ spouse","Other service","Husband","White","Male",0,0,40,">50K","United States"
28,"Private","HS to grad","Married civ spouse","Machine op inspct","Husband","White","Male",0,0,40,"<=50K","United States"
25,"Private","Bachelors","Never married","Exec managerial","Not in family","White","Male",4101,0,35,"<=50K","United States"
44,"Self emp not inc","Some to college","Married civ spouse","Other service","Husband","White","Male",0,0,40,">50K","United States"
40,"Private","HS to grad","Married civ spouse","Machine op inspct","Husband","White","Male",0,0,40,"<=50K","United States"
36,"Private","Some to college","Married civ spouse","Exec managerial","Husband","White","Male",0,0,45,"<=50K","United States"
21,"Private","Some to college","Never married","Adm clerical","Unmarried","White","Male",0,0,40,"<=50K","United States"
39,"State gov","Doctorate","Married civ spouse","Prof specialty","Husband","White","Male",0,0,50,">50K","United States"
24,"Private","Bachelors","Never married","Prof specialty","Not in family","White","Male",0,0,39,"<=50K","United States"
46,"Private","HS to grad","Never married","Transport moving","Not in family","Amer Indian Eskimo","Male",0,0,40,"<=50K","United States"
47,NA,"Bachelors","Married civ spouse",NA,"Husband","White","Male",0,0,36,">50K","United States"
47,"Private","Bachelors","Married civ spouse","Sales","Husband","White","Male",0,1977,40,">50K","United States"
35,"Private","Prof to school","Married civ spouse","Prof specialty","Husband","White","Male",0,0,75,">50K","United States"
60,"Self emp not inc","7th to 8th","Married civ spouse","Transport moving","Husband","White","Male",0,0,40,">50K","United States"
21,"Private","Assoc to acdm","Never married","Prof specialty","Not in family","White","Female",0,0,40,"<=50K","United States"
37,"Private","Bachelors","Married civ spouse","Tech support","Husband","White","Male",0,0,50,">50K","United States"
48,"Federal gov","HS to grad","Married civ spouse","Adm clerical","Husband","Black","Male",0,0,50,">50K","United States"
21,"Private","HS to grad","Never married","Handlers cleaners","Not in family","White","Female",0,0,40,"<=50K","United States"
22,"Private","HS to grad","Never married","Handlers cleaners","Own child","White","Male",0,0,40,"<=50K","United States"
22,"Private","HS to grad","Never married","Other service","Unmarried","White","Female",0,0,40,"<=50K","United States"
28,"Self emp not inc","Masters","Married civ spouse","Exec managerial","Wife","White","Female",0,0,30,">50K","United States"
33,NA,"Assoc to voc","Married civ spouse",NA,"Own child","White","Female",7688,0,50,">50K","United States"
